shell_index,shell_distance_ang,pairs_in_shell,weighted_configs_with_shell,presence_delta_eV,slope_eV_per_pair,weighted_corr
168,6.956959657649926,1,461,-0.11495860636296129,-0.12017217424763994,-0.16645938941380953
169,6.982899925768629,1,250,-0.10612184446108586,-0.10867875089343737,-0.11200304975100846
170,6.985911677491076,1,1,-0.18234667430124318,-0.18236383634348588,-0.012028276790924938
171,6.989398864911943,1,52,-0.1293696781476683,-0.13000588235477778,-0.061685707798595876
172,6.99184560367244,1,8,0.2598458856987236,0.26004166334621487,0.04849640139197714
173,7.012844270310539,1,28,-0.15521317858701877,-0.15562325303731825,-0.05424574608492901
174,7.018946278763068,1,84,-0.09260584287267193,-0.09334373803739608,-0.05620650251088994
175,7.021118064655185,1,24,0.03253607903207012,0.032609731726980236,0.010525602650280073
176,7.101309022745391,1,28,-0.1359024271587259,-0.13626148245043382,-0.04749679520186964
177,7.1472529455190905,1,80,0.026773220198265335,0.02697631687910794,0.015855201133132005
178,7.248820291289538,1,640,0.028894723073790374,0.030746577944770877,0.049737365585735445
179,7.280441651775873,1,528,0.03738598857898978,0.03934081150726216,0.05812703663719526
180,7.29347977947608,1,152,0.023118998856261896,0.02345450466169203,0.018936711749084255
181,7.3001992210136315,2,320,0.0336264649486111,0.03467056244132741,0.04028850660914217
182,7.350825727715229,1,72,0.03497134958752213,0.035209926160112294,0.01963993886979236
183,7.355788067626498,1,56,-0.01699442430117415,-0.017084460988664563,-0.00841071685637437
184,7.3710727916079914,1,1280,0.019266084854280052,0.02190470978431847,0.048479217467823514
185,7.421386401527127,1,32,-0.1324632380510593,-0.13286335355460635,-0.04950059370260994
186,7.423144716561074,2,280,-0.0640292377302103,-0.06576209937581212,-0.07162112624819662
187,7.430456842260675,2,96,0.06410884986553356,0.06469331801001181,0.04162070691576396
188,7.440462682906707,1,16,0.1770463406987801,0.17731332858065127,0.04674759685940131
189,7.454179337639378,1,144,-0.1166275915238657,-0.11822980228516479,-0.09294595869096368
190,7.512332416962657,1,242,-0.10367143983876304,-0.1060875115319981,-0.10761046532758992
191,7.563647628300732,1,622,-0.0288256241410636,-0.030617861069722384,-0.04887166174059262
192,7.612185678162867,1,34,-0.0019786013604061736,-0.0019849526130438833,-0.0007622173182414481
193,7.713031371851413,1,4,0.24955789569867193,0.24965187343904735,0.03292821569353722
194,7.845888755882244,1,26,0.16139365877552336,0.16178953001196092,0.054348835641899636
195,7.856218075012777,1,12,-0.051424037634660635,-0.05148217674113728,-0.011756750185607524
196,7.923533910877511,1,108,-0.2085421887454686,-0.21068352325879675,-0.14368428053344684
197,7.959773105029143,1,1116,-0.03691351975021462,-0.04124532711681423,-0.08597997853746356
198,7.979475628415718,1,20,-0.10890661030134652,-0.10911197822795295,-0.03215610685791005
199,7.981495963031801,1,548,-0.04007133306049582,-0.042250246589049294,-0.06353410676830429
200,7.992354194331146,1,1044,-0.09264709702165419,-0.10274139563514682,-0.207933286421108
201,7.993565352321746,1,124,-0.04519540268893252,-0.045729037230165775,-0.033391746272521054
202,7.999738349613878,1,436,-0.06819555595257043,-0.07111344235304376,-0.09591405731581228
203,8.017142741349698,1,44,-0.11474396430094203,-0.1152210701843442,-0.05030861319827189
204,8.06449227107364,1,36,-0.18534519652348536,-0.18597526518248775,-0.07347754566330529
205,8.085320242988294,1,20,-0.16790917830167018,-0.16822580884916172,-0.04957738988391065
206,8.094995195923875,1,20,-0.07610815430143703,-0.07625167335750183,-0.022471932013327978
207,8.128780943869538,1,44,-0.13611707430118258,-0.1366830496643786,-0.05967948974370609
208,8.163622347082843,1,12,0.042147305699018034,0.04219495669225811,0.009635870049119612
209,8.174527835873073,1,108,-0.13216303948638597,-0.13352010435519476,-0.09105951824937442
210,8.23864223634979,1,134,0.015500895698551176,0.015698867486657303,0.01191105110512287
211,8.243667050574127,1,182,0.026962009875205695,0.027431857229255657,0.024200512410360604
212,8.245649651419134,1,278,-0.0023173954527919705,-0.0023796525030286716,-0.002582642982100767
213,8.256733219854063,1,330,0.032809068668029795,0.033860641379781765,0.03993803022265101
214,8.29235460987362,1,78,-0.07010281148041031,-0.07062120542465,-0.040989036744102446
215,8.293799171035273,1,70,-0.07163822487245852,-0.07211327941661204,-0.03966561397166165
